Date,Item_Name,Category,Forecasted_Prep_Qty,Actual_Demand_Qty,Spoiled_Qty,Unit_Cost,Salvage_Value
2024-01-07,Chicken Lollipop 6pcs,Starter,38,29,9,70,0
2024-01-07,Chilli Baby Corn (dry),Starter,15,9,6,50,0
2024-01-07,Chicken Pepper Bbq Pizza (Medium),Pizza,30,30,0,90,0
2024-01-07,Bbq Fried Wings 6 Pcs.,Snacks,23,30,0,65,0
2024-01-07,Cold Coffee,Cold Beverages,31,28,3,25,0
2024-01-07,Virgin Mojito,Mocktails,41,41,0,30,0
2024-01-08,Chicken Lollipop 6pcs,Starter,23,23,0,70,0
2024-01-08,Chilli Baby Corn (dry),Starter,40,37,3,50,0
2024-01-08,Chicken Pepper Bbq Pizza (Medium),Pizza,29,25,4,90,0
2024-01-08,Bbq Fried Wings 6 Pcs.,Snacks,36,30,6,65,0
2024-01-08,Cold Coffee,Cold Beverages,24,24,0,25,0
2024-01-08,Virgin Mojito,Mocktails,21,26,0,30,0
2024-01-09,Chicken Lollipop 6pcs,Starter,35,32,3,70,0
2024-01-09,Chilli Baby Corn (dry),Starter,30,30,0,50,0
2024-01-09,Chicken Pepper Bbq Pizza (Medium),Pizza,18,18,0,90,0
2024-01-09,Bbq Fried Wings 6 Pcs.,Snacks,25,27,0,65,0
2024-01-09,Cold Coffee,Cold Beverages,32,28,4,25,0
2024-01-09,Virgin Mojito,Mocktails,47,45,2,30,0
2024-01-10,Chicken Lollipop 6pcs,Starter,33,32,1,70,0
2024-01-10,Chilli Baby Corn (dry),Starter,15,14,1,50,0
2024-01-10,Chicken Pepper Bbq Pizza (Medium),Pizza,44,30,14,90,0
2024-01-10,Bbq Fried Wings 6 Pcs.,Snacks,31,28,3,65,0
2024-01-10,Cold Coffee,Cold Beverages,26,29,0,25,0
2024-01-10,Virgin Mojito,Mocktails,44,39,5,30,0
2024-01-11,Chicken Lollipop 6pcs,Starter,34,36,0,70,0
2024-01-11,Chilli Baby Corn (dry),Starter,36,41,0,50,0
2024-01-11,Chicken Pepper Bbq Pizza (Medium),Pizza,46,34,12,90,0
2024-01-11,Bbq Fried Wings 6 Pcs.,Snacks,22,22,0,65,0
2024-01-11,Cold Coffee,Cold Beverages,30,30,0,25,0
2024-01-11,Virgin Mojito,Mocktails,19,17,2,30,0
2024-01-12,Chicken Lollipop 6pcs,Starter,25,21,4,70,0
2024-01-12,Chilli Baby Corn (dry),Starter,31,22,9,50,0
2024-01-12,Chicken Pepper Bbq Pizza (Medium),Pizza,23,23,0,90,0
2024-01-12,Bbq Fried Wings 6 Pcs.,Snacks,32,36,0,65,0
2024-01-12,Cold Coffee,Cold Beverages,39,31,8,25,0
2024-01-12,Virgin Mojito,Mocktails,19,17,2,30,0
2024-01-13,Chicken Lollipop 6pcs,Starter,37,32,5,70,0
2024-01-13,Chilli Baby Corn (dry),Starter,16,20,0,50,0
2024-01-13,Chicken Pepper Bbq Pizza (Medium),Pizza,37,34,3,90,0
2024-01-13,Bbq Fried Wings 6 Pcs.,Snacks,35,32,3,65,0
2024-01-13,Cold Coffee,Cold Beverages,27,24,3,25,0
2024-01-13,Virgin Mojito,Mocktails,31,32,0,30,0
2024-01-14,Chicken Lollipop 6pcs,Starter,48,44,4,70,0
2024-01-14,Chilli Baby Corn (dry),Starter,25,20,5,50,0
2024-01-14,Chicken Pepper Bbq Pizza (Medium),Pizza,27,22,5,90,0
2024-01-14,Bbq Fried Wings 6 Pcs.,Snacks,37,39,0,65,0
2024-01-14,Cold Coffee,Cold Beverages,41,37,4,25,0
2024-01-14,Virgin Mojito,Mocktails,47,36,11,30,0
2024-01-15,Chicken Lollipop 6pcs,Starter,27,28,0,70,0
2024-01-15,Chilli Baby Corn (dry),Starter,20,22,0,50,0
2024-01-15,Chicken Pepper Bbq Pizza (Medium),Pizza,32,29,3,90,0
2024-01-15,Bbq Fried Wings 6 Pcs.,Snacks,38,32,6,65,0
2024-01-15,Cold Coffee,Cold Beverages,39,30,9,25,0
2024-01-15,Virgin Mojito,Mocktails,42,27,15,30,0
2024-01-16,Chicken Lollipop 6pcs,Starter,33,35,0,70,0
2024-01-16,Chilli Baby Corn (dry),Starter,25,21,4,50,0
2024-01-16,Chicken Pepper Bbq Pizza (Medium),Pizza,33,28,5,90,0
2024-01-16,Bbq Fried Wings 6 Pcs.,Snacks,34,33,1,65,0
2024-01-16,Cold Coffee,Cold Beverages,18,23,0,25,0
2024-01-16,Virgin Mojito,Mocktails,32,26,6,30,0
2024-01-17,Chicken Lollipop 6pcs,Starter,27,31,0,70,0
2024-01-17,Chilli Baby Corn (dry),Starter,34,31,3,50,0
2024-01-17,Chicken Pepper Bbq Pizza (Medium),Pizza,24,22,2,90,0
2024-01-17,Bbq Fried Wings 6 Pcs.,Snacks,27,30,0,65,0
2024-01-17,Cold Coffee,Cold Beverages,36,32,4,25,0
2024-01-17,Virgin Mojito,Mocktails,45,38,7,30,0
2024-01-18,Chicken Lollipop 6pcs,Starter,16,18,0,70,0
2024-01-18,Chilli Baby Corn (dry),Starter,38,34,4,50,0
2024-01-18,Chicken Pepper Bbq Pizza (Medium),Pizza,55,34,21,90,0
2024-01-18,Bbq Fried Wings 6 Pcs.,Snacks,41,34,7,65,0
2024-01-18,Cold Coffee,Cold Beverages,42,37,5,25,0
2024-01-18,Virgin Mojito,Mocktails,32,27,5,30,0
2024-01-19,Chicken Lollipop 6pcs,Starter,23,23,0,70,0
2024-01-19,Chilli Baby Corn (dry),Starter,28,26,2,50,0
2024-01-19,Chicken Pepper Bbq Pizza (Medium),Pizza,41,48,0,90,0
2024-01-19,Bbq Fried Wings 6 Pcs.,Snacks,29,35,0,65,0
2024-01-19,Cold Coffee,Cold Beverages,33,26,7,25,0
2024-01-19,Virgin Mojito,Mocktails,27,30,0,30,0
2024-01-20,Chicken Lollipop 6pcs,Starter,29,24,5,70,0
2024-01-20,Chilli Baby Corn (dry),Starter,27,24,3,50,0
2024-01-20,Chicken Pepper Bbq Pizza (Medium),Pizza,29,30,0,90,0
2024-01-20,Bbq Fried Wings 6 Pcs.,Snacks,52,47,5,65,0
2024-01-20,Cold Coffee,Cold Beverages,15,13,2,25,0
2024-01-20,Virgin Mojito,Mocktails,30,24,6,30,0
2024-01-21,Chicken Lollipop 6pcs,Starter,24,23,1,70,0
2024-01-21,Chilli Baby Corn (dry),Starter,40,34,6,50,0
2024-01-21,Chicken Pepper Bbq Pizza (Medium),Pizza,20,20,0,90,0
2024-01-21,Bbq Fried Wings 6 Pcs.,Snacks,25,26,0,65,0
2024-01-21,Cold Coffee,Cold Beverages,48,44,4,25,0
2024-01-21,Virgin Mojito,Mocktails,25,19,6,30,0
2024-01-22,Chicken Lollipop 6pcs,Starter,53,46,7,70,0
2024-01-22,Chilli Baby Corn (dry),Starter,17,17,0,50,0
2024-01-22,Chicken Pepper Bbq Pizza (Medium),Pizza,39,40,0,90,0
2024-01-22,Bbq Fried Wings 6 Pcs.,Snacks,38,33,5,65,0
2024-01-22,Cold Coffee,Cold Beverages,23,22,1,25,0
2024-01-22,Virgin Mojito,Mocktails,1,4,0,30,0
2024-01-23,Chicken Lollipop 6pcs,Starter,23,27,0,70,0
2024-01-23,Chilli Baby Corn (dry),Starter,38,43,0,50,0
2024-01-23,Chicken Pepper Bbq Pizza (Medium),Pizza,28,26,2,90,0
2024-01-23,Bbq Fried Wings 6 Pcs.,Snacks,36,41,0,65,0
2024-01-23,Cold Coffee,Cold Beverages,41,39,2,25,0
2024-01-23,Virgin Mojito,Mocktails,26,22,4,30,0
2024-01-24,Chicken Lollipop 6pcs,Starter,30,31,0,70,0
2024-01-24,Chilli Baby Corn (dry),Starter,30,30,0,50,0
2024-01-24,Chicken Pepper Bbq Pizza (Medium),Pizza,35,30,5,90,0
2024-01-24,Bbq Fried Wings 6 Pcs.,Snacks,38,42,0,65,0
2024-01-24,Cold Coffee,Cold Beverages,40,47,0,25,0
2024-01-24,Virgin Mojito,Mocktails,32,28,4,30,0
2024-01-25,Chicken Lollipop 6pcs,Starter,31,32,0,70,0
2024-01-25,Chilli Baby Corn (dry),Starter,28,28,0,50,0
2024-01-25,Chicken Pepper Bbq Pizza (Medium),Pizza,31,25,6,90,0
2024-01-25,Bbq Fried Wings 6 Pcs.,Snacks,31,32,0,65,0
2024-01-25,Cold Coffee,Cold Beverages,40,37,3,25,0
2024-01-25,Virgin Mojito,Mocktails,41,36,5,30,0
2024-01-26,Chicken Lollipop 6pcs,Starter,23,23,0,70,0
2024-01-26,Chilli Baby Corn (dry),Starter,40,35,5,50,0
2024-01-26,Chicken Pepper Bbq Pizza (Medium),Pizza,31,29,2,90,0
2024-01-26,Bbq Fried Wings 6 Pcs.,Snacks,40,40,0,65,0
2024-01-26,Cold Coffee,Cold Beverages,34,34,0,25,0
2024-01-26,Virgin Mojito,Mocktails,35,28,7,30,0
2024-01-27,Chicken Lollipop 6pcs,Starter,42,36,6,70,0
2024-01-27,Chilli Baby Corn (dry),Starter,42,40,2,50,0
2024-01-27,Chicken Pepper Bbq Pizza (Medium),Pizza,35,35,0,90,0
2024-01-27,Bbq Fried Wings 6 Pcs.,Snacks,33,32,1,65,0
2024-01-27,Cold Coffee,Cold Beverages,34,30,4,25,0
2024-01-27,Virgin Mojito,Mocktails,35,23,12,30,0
2024-01-28,Chicken Lollipop 6pcs,Starter,17,21,0,70,0
2024-01-28,Chilli Baby Corn (dry),Starter,44,39,5,50,0
2024-01-28,Chicken Pepper Bbq Pizza (Medium),Pizza,39,34,5,90,0
2024-01-28,Bbq Fried Wings 6 Pcs.,Snacks,27,29,0,65,0
2024-01-28,Cold Coffee,Cold Beverages,29,30,0,25,0
2024-01-28,Virgin Mojito,Mocktails,38,37,1,30,0
2024-01-29,Chicken Lollipop 6pcs,Starter,23,23,0,70,0
2024-01-29,Chilli Baby Corn (dry),Starter,33,33,0,50,0
2024-01-29,Chicken Pepper Bbq Pizza (Medium),Pizza,26,23,3,90,0
2024-01-29,Bbq Fried Wings 6 Pcs.,Snacks,31,31,0,65,0
2024-01-29,Cold Coffee,Cold Beverages,29,26,3,25,0
2024-01-29,Virgin Mojito,Mocktails,13,18,0,30,0
2024-01-30,Chicken Lollipop 6pcs,Starter,24,24,0,70,0
2024-01-30,Chilli Baby Corn (dry),Starter,41,32,9,50,0
2024-01-30,Chicken Pepper Bbq Pizza (Medium),Pizza,37,36,1,90,0
2024-01-30,Bbq Fried Wings 6 Pcs.,Snacks,26,29,0,65,0
2024-01-30,Cold Coffee,Cold Beverages,29,29,0,25,0
2024-01-30,Virgin Mojito,Mocktails,30,32,0,30,0
2024-01-31,Chicken Lollipop 6pcs,Starter,43,34,9,70,0
2024-01-31,Chilli Baby Corn (dry),Starter,33,29,4,50,0
2024-01-31,Chicken Pepper Bbq Pizza (Medium),Pizza,35,35,0,90,0
2024-01-31,Bbq Fried Wings 6 Pcs.,Snacks,33,31,2,65,0
2024-01-31,Cold Coffee,Cold Beverages,29,30,0,25,0
2024-01-31,Virgin Mojito,Mocktails,34,30,4,30,0
2024-02-01,Chicken Lollipop 6pcs,Starter,47,41,6,70,0
2024-02-01,Chilli Baby Corn (dry),Starter,46,47,0,50,0
2024-02-01,Chicken Pepper Bbq Pizza (Medium),Pizza,38,36,2,90,0
2024-02-01,Bbq Fried Wings 6 Pcs.,Snacks,45,47,0,65,0
2024-02-01,Cold Coffee,Cold Beverages,23,23,0,25,0
2024-02-01,Virgin Mojito,Mocktails,13,13,0,30,0
2024-02-02,Chicken Lollipop 6pcs,Starter,25,23,2,70,0
2024-02-02,Chilli Baby Corn (dry),Starter,43,32,11,50,0
2024-02-02,Chicken Pepper Bbq Pizza (Medium),Pizza,37,37,0,90,0
2024-02-02,Bbq Fried Wings 6 Pcs.,Snacks,26,22,4,65,0
2024-02-02,Cold Coffee,Cold Beverages,30,19,11,25,0
2024-02-02,Virgin Mojito,Mocktails,39,39,0,30,0
2024-02-03,Chicken Lollipop 6pcs,Starter,24,16,8,70,0
2024-02-03,Chilli Baby Corn (dry),Starter,37,29,8,50,0
2024-02-03,Chicken Pepper Bbq Pizza (Medium),Pizza,17,17,0,90,0
2024-02-03,Bbq Fried Wings 6 Pcs.,Snacks,32,30,2,65,0
2024-02-03,Cold Coffee,Cold Beverages,31,26,5,25,0
2024-02-03,Virgin Mojito,Mocktails,22,21,1,30,0
2024-02-04,Chicken Lollipop 6pcs,Starter,34,30,4,70,0
2024-02-04,Chilli Baby Corn (dry),Starter,32,35,0,50,0
2024-02-04,Chicken Pepper Bbq Pizza (Medium),Pizza,25,17,8,90,0
2024-02-04,Bbq Fried Wings 6 Pcs.,Snacks,31,32,0,65,0
2024-02-04,Cold Coffee,Cold Beverages,44,42,2,25,0
2024-02-04,Virgin Mojito,Mocktails,41,39,2,30,0
2024-02-05,Chicken Lollipop 6pcs,Starter,56,46,10,70,0
2024-02-05,Chilli Baby Corn (dry),Starter,34,28,6,50,0
2024-02-05,Chicken Pepper Bbq Pizza (Medium),Pizza,43,35,8,90,0
2024-02-05,Bbq Fried Wings 6 Pcs.,Snacks,27,22,5,65,0
2024-02-05,Cold Coffee,Cold Beverages,32,38,0,25,0
2024-02-05,Virgin Mojito,Mocktails,12,20,0,30,0
2024-02-06,Chicken Lollipop 6pcs,Starter,32,27,5,70,0
2024-02-06,Chilli Baby Corn (dry),Starter,44,42,2,50,0
2024-02-06,Chicken Pepper Bbq Pizza (Medium),Pizza,39,43,0,90,0
2024-02-06,Bbq Fried Wings 6 Pcs.,Snacks,17,16,1,65,0
2024-02-06,Cold Coffee,Cold Beverages,34,33,1,25,0
2024-02-06,Virgin Mojito,Mocktails,14,13,1,30,0
2024-02-07,Chicken Lollipop 6pcs,Starter,24,19,5,70,0
2024-02-07,Chilli Baby Corn (dry),Starter,30,32,0,50,0
2024-02-07,Chicken Pepper Bbq Pizza (Medium),Pizza,22,25,0,90,0
2024-02-07,Bbq Fried Wings 6 Pcs.,Snacks,35,29,6,65,0
2024-02-07,Cold Coffee,Cold Beverages,26,22,4,25,0
2024-02-07,Virgin Mojito,Mocktails,24,25,0,30,0
2024-02-08,Chicken Lollipop 6pcs,Starter,26,29,0,70,0
2024-02-08,Chilli Baby Corn (dry),Starter,22,25,0,50,0
2024-02-08,Chicken Pepper Bbq Pizza (Medium),Pizza,47,45,2,90,0
2024-02-08,Bbq Fried Wings 6 Pcs.,Snacks,27,24,3,65,0
2024-02-08,Cold Coffee,Cold Beverages,29,29,0,25,0
2024-02-08,Virgin Mojito,Mocktails,39,34,5,30,0
2024-02-09,Chicken Lollipop 6pcs,Starter,25,25,0,70,0
2024-02-09,Chilli Baby Corn (dry),Starter,18,27,0,50,0
2024-02-09,Chicken Pepper Bbq Pizza (Medium),Pizza,25,17,8,90,0
2024-02-09,Bbq Fried Wings 6 Pcs.,Snacks,43,43,0,65,0
2024-02-09,Cold Coffee,Cold Beverages,37,34,3,25,0
2024-02-09,Virgin Mojito,Mocktails,61,54,7,30,0
2024-02-10,Chicken Lollipop 6pcs,Starter,26,28,0,70,0
2024-02-10,Chilli Baby Corn (dry),Starter,20,17,3,50,0
2024-02-10,Chicken Pepper Bbq Pizza (Medium),Pizza,18,23,0,90,0
2024-02-10,Bbq Fried Wings 6 Pcs.,Snacks,21,24,0,65,0
2024-02-10,Cold Coffee,Cold Beverages,49,43,6,25,0
2024-02-10,Virgin Mojito,Mocktails,38,29,9,30,0
2024-02-11,Chicken Lollipop 6pcs,Starter,28,30,0,70,0
2024-02-11,Chilli Baby Corn (dry),Starter,46,42,4,50,0
2024-02-11,Chicken Pepper Bbq Pizza (Medium),Pizza,22,21,1,90,0
2024-02-11,Bbq Fried Wings 6 Pcs.,Snacks,18,22,0,65,0
2024-02-11,Cold Coffee,Cold Beverages,48,37,11,25,0
2024-02-11,Virgin Mojito,Mocktails,22,18,4,30,0
2024-02-12,Chicken Lollipop 6pcs,Starter,24,24,0,70,0
2024-02-12,Chilli Baby Corn (dry),Starter,23,25,0,50,0
2024-02-12,Chicken Pepper Bbq Pizza (Medium),Pizza,28,30,0,90,0
2024-02-12,Bbq Fried Wings 6 Pcs.,Snacks,33,32,1,65,0
2024-02-12,Cold Coffee,Cold Beverages,26,28,0,25,0
2024-02-12,Virgin Mojito,Mocktails,30,25,5,30,0
2024-02-13,Chicken Lollipop 6pcs,Starter,32,34,0,70,0
2024-02-13,Chilli Baby Corn (dry),Starter,35,30,5,50,0
2024-02-13,Chicken Pepper Bbq Pizza (Medium),Pizza,20,16,4,90,0
2024-02-13,Bbq Fried Wings 6 Pcs.,Snacks,28,24,4,65,0
2024-02-13,Cold Coffee,Cold Beverages,16,23,0,25,0
2024-02-13,Virgin Mojito,Mocktails,18,16,2,30,0
2024-02-14,Chicken Lollipop 6pcs,Starter,30,32,0,70,0
2024-02-14,Chilli Baby Corn (dry),Starter,29,35,0,50,0
2024-02-14,Chicken Pepper Bbq Pizza (Medium),Pizza,25,29,0,90,0
2024-02-14,Bbq Fried Wings 6 Pcs.,Snacks,26,24,2,65,0
2024-02-14,Cold Coffee,Cold Beverages,23,23,0,25,0
2024-02-14,Virgin Mojito,Mocktails,38,38,0,30,0
2024-02-15,Chicken Lollipop 6pcs,Starter,33,36,0,70,0
2024-02-15,Chilli Baby Corn (dry),Starter,43,34,9,50,0
2024-02-15,Chicken Pepper Bbq Pizza (Medium),Pizza,9,10,0,90,0
2024-02-15,Bbq Fried Wings 6 Pcs.,Snacks,34,34,0,65,0
2024-02-15,Cold Coffee,Cold Beverages,31,32,0,25,0
2024-02-15,Virgin Mojito,Mocktails,31,30,1,30,0
2024-02-16,Chicken Lollipop 6pcs,Starter,42,39,3,70,0
2024-02-16,Chilli Baby Corn (dry),Starter,32,32,0,50,0
2024-02-16,Chicken Pepper Bbq Pizza (Medium),Pizza,26,26,0,90,0
2024-02-16,Bbq Fried Wings 6 Pcs.,Snacks,33,33,0,65,0
2024-02-16,Cold Coffee,Cold Beverages,44,32,12,25,0
2024-02-16,Virgin Mojito,Mocktails,36,36,0,30,0
2024-02-17,Chicken Lollipop 6pcs,Starter,39,39,0,70,0
2024-02-17,Chilli Baby Corn (dry),Starter,10,13,0,50,0
2024-02-17,Chicken Pepper Bbq Pizza (Medium),Pizza,15,15,0,90,0
2024-02-17,Bbq Fried Wings 6 Pcs.,Snacks,40,30,10,65,0
2024-02-17,Cold Coffee,Cold Beverages,32,32,0,25,0
2024-02-17,Virgin Mojito,Mocktails,27,36,0,30,0
2024-02-18,Chicken Lollipop 6pcs,Starter,36,31,5,70,0
2024-02-18,Chilli Baby Corn (dry),Starter,25,18,7,50,0
2024-02-18,Chicken Pepper Bbq Pizza (Medium),Pizza,32,32,0,90,0
2024-02-18,Bbq Fried Wings 6 Pcs.,Snacks,48,35,13,65,0
2024-02-18,Cold Coffee,Cold Beverages,34,31,3,25,0
2024-02-18,Virgin Mojito,Mocktails,24,26,0,30,0
2024-02-19,Chicken Lollipop 6pcs,Starter,34,36,0,70,0
2024-02-19,Chilli Baby Corn (dry),Starter,30,30,0,50,0
2024-02-19,Chicken Pepper Bbq Pizza (Medium),Pizza,36,33,3,90,0
2024-02-19,Bbq Fried Wings 6 Pcs.,Snacks,38,38,0,65,0
2024-02-19,Cold Coffee,Cold Beverages,25,27,0,25,0
2024-02-19,Virgin Mojito,Mocktails,29,26,3,30,0
2024-02-20,Chicken Lollipop 6pcs,Starter,34,36,0,70,0
2024-02-20,Chilli Baby Corn (dry),Starter,44,36,8,50,0
2024-02-20,Chicken Pepper Bbq Pizza (Medium),Pizza,44,33,11,90,0
2024-02-20,Bbq Fried Wings 6 Pcs.,Snacks,19,23,0,65,0
2024-02-20,Cold Coffee,Cold Beverages,24,15,9,25,0
2024-02-20,Virgin Mojito,Mocktails,36,35,1,30,0
2024-02-21,Chicken Lollipop 6pcs,Starter,29,32,0,70,0
2024-02-21,Chilli Baby Corn (dry),Starter,51,49,2,50,0
2024-02-21,Chicken Pepper Bbq Pizza (Medium),Pizza,35,30,5,90,0
2024-02-21,Bbq Fried Wings 6 Pcs.,Snacks,36,33,3,65,0
2024-02-21,Cold Coffee,Cold Beverages,27,23,4,25,0
2024-02-21,Virgin Mojito,Mocktails,53,45,8,30,0
2024-02-22,Chicken Lollipop 6pcs,Starter,42,42,0,70,0
2024-02-22,Chilli Baby Corn (dry),Starter,23,22,1,50,0
2024-02-22,Chicken Pepper Bbq Pizza (Medium),Pizza,37,30,7,90,0
2024-02-22,Bbq Fried Wings 6 Pcs.,Snacks,25,16,9,65,0
2024-02-22,Cold Coffee,Cold Beverages,28,28,0,25,0
2024-02-22,Virgin Mojito,Mocktails,15,21,0,30,0
2024-02-23,Chicken Lollipop 6pcs,Starter,38,36,2,70,0
2024-02-23,Chilli Baby Corn (dry),Starter,15,19,0,50,0
2024-02-23,Chicken Pepper Bbq Pizza (Medium),Pizza,37,27,10,90,0
2024-02-23,Bbq Fried Wings 6 Pcs.,Snacks,22,27,0,65,0
2024-02-23,Cold Coffee,Cold Beverages,28,28,0,25,0
2024-02-23,Virgin Mojito,Mocktails,9,8,1,30,0
2024-02-24,Chicken Lollipop 6pcs,Starter,33,28,5,70,0
2024-02-24,Chilli Baby Corn (dry),Starter,51,44,7,50,0
2024-02-24,Chicken Pepper Bbq Pizza (Medium),Pizza,24,27,0,90,0
2024-02-24,Bbq Fried Wings 6 Pcs.,Snacks,52,50,2,65,0
2024-02-24,Cold Coffee,Cold Beverages,31,30,1,25,0
2024-02-24,Virgin Mojito,Mocktails,32,31,1,30,0
2024-02-25,Chicken Lollipop 6pcs,Starter,25,25,0,70,0
2024-02-25,Chilli Baby Corn (dry),Starter,29,29,0,50,0
2024-02-25,Chicken Pepper Bbq Pizza (Medium),Pizza,26,24,2,90,0
2024-02-25,Bbq Fried Wings 6 Pcs.,Snacks,36,27,9,65,0
2024-02-25,Cold Coffee,Cold Beverages,15,8,7,25,0
2024-02-25,Virgin Mojito,Mocktails,31,39,0,30,0
2024-02-26,Chicken Lollipop 6pcs,Starter,27,27,0,70,0
2024-02-26,Chilli Baby Corn (dry),Starter,17,18,0,50,0
2024-02-26,Chicken Pepper Bbq Pizza (Medium),Pizza,31,21,10,90,0
2024-02-26,Bbq Fried Wings 6 Pcs.,Snacks,45,37,8,65,0
2024-02-26,Cold Coffee,Cold Beverages,32,35,0,25,0
2024-02-26,Virgin Mojito,Mocktails,29,25,4,30,0
2024-02-27,Chicken Lollipop 6pcs,Starter,25,20,5,70,0
2024-02-27,Chilli Baby Corn (dry),Starter,28,28,0,50,0
2024-02-27,Chicken Pepper Bbq Pizza (Medium),Pizza,39,35,4,90,0
2024-02-27,Bbq Fried Wings 6 Pcs.,Snacks,34,27,7,65,0
2024-02-27,Cold Coffee,Cold Beverages,26,21,5,25,0
2024-02-27,Virgin Mojito,Mocktails,34,34,0,30,0
2024-02-28,Chicken Lollipop 6pcs,Starter,28,32,0,70,0
2024-02-28,Chilli Baby Corn (dry),Starter,38,37,1,50,0
2024-02-28,Chicken Pepper Bbq Pizza (Medium),Pizza,32,25,7,90,0
2024-02-28,Bbq Fried Wings 6 Pcs.,Snacks,19,24,0,65,0
2024-02-28,Cold Coffee,Cold Beverages,22,17,5,25,0
2024-02-28,Virgin Mojito,Mocktails,29,19,10,30,0
2024-02-29,Chicken Lollipop 6pcs,Starter,23,13,10,70,0
2024-02-29,Chilli Baby Corn (dry),Starter,32,31,1,50,0
2024-02-29,Chicken Pepper Bbq Pizza (Medium),Pizza,28,25,3,90,0
2024-02-29,Bbq Fried Wings 6 Pcs.,Snacks,36,29,7,65,0
2024-02-29,Cold Coffee,Cold Beverages,32,30,2,25,0
2024-02-29,Virgin Mojito,Mocktails,28,27,1,30,0
2024-03-01,Chicken Lollipop 6pcs,Starter,26,32,0,70,0
2024-03-01,Chilli Baby Corn (dry),Starter,24,19,5,50,0
2024-03-01,Chicken Pepper Bbq Pizza (Medium),Pizza,32,31,1,90,0
2024-03-01,Bbq Fried Wings 6 Pcs.,Snacks,33,30,3,65,0
2024-03-01,Cold Coffee,Cold Beverages,24,25,0,25,0
2024-03-01,Virgin Mojito,Mocktails,29,31,0,30,0
2024-03-02,Chicken Lollipop 6pcs,Starter,27,33,0,70,0
2024-03-02,Chilli Baby Corn (dry),Starter,42,38,4,50,0
2024-03-02,Chicken Pepper Bbq Pizza (Medium),Pizza,38,32,6,90,0
2024-03-02,Bbq Fried Wings 6 Pcs.,Snacks,50,43,7,65,0
2024-03-02,Cold Coffee,Cold Beverages,11,15,0,25,0
2024-03-02,Virgin Mojito,Mocktails,27,25,2,30,0
2024-03-03,Chicken Lollipop 6pcs,Starter,33,34,0,70,0
2024-03-03,Chilli Baby Corn (dry),Starter,30,31,0,50,0
2024-03-03,Chicken Pepper Bbq Pizza (Medium),Pizza,20,25,0,90,0
2024-03-03,Bbq Fried Wings 6 Pcs.,Snacks,18,22,0,65,0
2024-03-03,Cold Coffee,Cold Beverages,29,22,7,25,0
2024-03-03,Virgin Mojito,Mocktails,37,22,15,30,0
